ensemble,d,K,rho,tau,n_trials,spectral_P,spectral_mean,spectral_std,krylov_P,krylov_mean,krylov_std,moment_P
canonical,16,52,0.203125,0.99,200,0.0,0.9999664553581485,0.0004674473826441638,0.005,0.9999339456764198,0.0009318109030598133,0.0
canonical,16,58,0.2265625,0.99,200,0.0,0.9999997295830799,2.202104789971288e-07,0.0,1.0,3.186939622070134e-16,0.0
canonical,16,64,0.25,0.99,200,0.0,0.9999997283549054,2.409313498173026e-07,0.0,1.0,3.0475571469314576e-16,0.0
canonical,16,5,0.01953125,0.95,200,1.0,0.2869323434546039,0.1619320533658252,1.0,0.1138464487198101,0.1157336441842958,0.565
canonical,16,9,0.03515625,0.95,200,1.0,0.42386660713215646,0.21603969987578356,0.985,0.23880093486336662,0.21856772376878983,0.355
canonical,16,12,0.046875,0.95,200,0.995,0.542427571608274,0.2674574553988983,0.895,0.40758499695393285,0.3309630660378668,0.22
canonical,16,15,0.05859375,0.95,200,0.87,0.7387950029689364,0.25532682063460244,0.665,0.6867149976083416,0.33989129006677327,0.11
canonical,16,17,0.06640625,0.95,200,0.685,0.8443311021692069,0.19649328149576717,0.55,0.8100925988038037,0.27194426980891295,0.06
canonical,16,18,0.0703125,0.95,200,0.555,0.8475007198512001,0.23082434732633966,0.535,0.8083016876298279,0.29279110591875496,0.08
canonical,16,19,0.07421875,0.95,200,0.455,0.8556033097515298,0.24178220689151944,0.52,0.8168868587482592,0.30062607509241573,0.075
canonical,16,21,0.08203125,0.95,200,0.405,0.8575279460413774,0.250802986846462,0.48,0.8132419244658461,0.313365762333424,0.1
canonical,16,22,0.0859375,0.95,200,0.34,0.8816193702631572,0.2356528070143778,0.44,0.8458241413039874,0.2890332152467209,0.09
canonical,16,23,0.08984375,0.95,200,0.3,0.9094419703388056,0.20832043417064475,0.37,0.88219869217531,0.2508708635161543,0.055
canonical,16,25,0.09765625,0.95,200,0.255,0.9223572470494668,0.1872110379207425,0.3,0.8947364185281174,0.2378708702366168,0.045
